CustomerID,Lookalikes
C0001,"[('C0152', 0.9955963138713217), ('C0011', 0.9864836514039517), ('C0107', 0.9740428349906434)]"
C0002,"[('C0142', 0.9875147685508076), ('C0097', 0.9365689721778316), ('C0159', 0.9311457283022502)]"
C0003,"[('C0025', 0.9679138253787778), ('C0174', 0.9508266120471067), ('C0031', 0.9479050728679842)]"
C0004,"[('C0108', 0.9789771046872809), ('C0165', 0.971042483553823), ('C0012', 0.9709014986499419)]"
C0005,"[('C0140', 0.9830432542918423), ('C0186', 0.9803354629609198), ('C0123', 0.9782098800406492)]"
C0006,"[('C0158', 0.955353472877378), ('C0107', 0.9440269243649576), ('C0187', 0.9269498631928615)]"
C0007,"[('C0115', 0.9688826171234073), ('C0186', 0.951364625244113), ('C0078', 0.945578171734622)]"
C0008,"[('C0109', 0.9788279254872705), ('C0098', 0.9412468407452143), ('C0194', 0.9221596836195292)]"
C0009,"[('C0061', 0.9712428929801172), ('C0132', 0.9608000094974194), ('C0198', 0.9440189265283065)]"
C0010,"[('C0062', 0.9390929020489039), ('C0060', 0.9340355925611034), ('C0121', 0.9237687825703025)]"
C0011,"[('C0107', 0.9948030964610857), ('C0001', 0.9864836514039517), ('C0152', 0.9724619098860702)]"
C0012,"[('C0108', 0.9928489972627305), ('C0004', 0.9709014986499419), ('C0087', 0.9560408080455179)]"
C0013,"[('C0099', 0.9855306170120122), ('C0087', 0.9838662422465808), ('C0155', 0.9794547113489797)]"
C0014,"[('C0063', 0.9769914535967342), ('C0060', 0.9521314629115876), ('C0062', 0.9469647742469012)]"
C0015,"[('C0131', 0.970289993129642), ('C0058', 0.9693764853550269), ('C0042', 0.9342486375357995)]"
C0016,"[('C0079', 0.9674682982384718), ('C0185', 0.9370729129850893), ('C0026', 0.8987909254321511)]"
C0017,"[('C0075', 0.980117079408368), ('C0041', 0.9409362535086628), ('C0053', 0.9297469599061164)]"
C0018,"[('C0183', 0.9277786236170189), ('C0067', 0.8464858719095363), ('C0026', 0.8463775971968956)]"
C0019,"[('C0069', 0.9324162001398903), ('C0199', 0.9206704092956808), ('C0172', 0.8723767818699881)]"
C0020,"[('C0058', 0.9517611095578006), ('C0131', 0.9406612091831247), ('C0015', 0.9328223675726988)]"
